model,epochs,acc,loss
CNN-LSTM,1,0.469298245614035,0.815208151675107
CNN-LSTM,2,0.521929824561403,0.790651763740339
CNN-LSTM,3,0.552631578947369,0.778459982913837
CNN-LSTM,4,0.543859649122807,0.772940575030812
CNN-LSTM,5,0.592105263157895,0.753406295650884
CNN-LSTM,6,0.605263157894737,0.752642525915514
CNN-LSTM,7,0.675438596491228,0.735036654430523
CNN-LSTM,8,0.657894736842105,0.723635086887761
CNN-LSTM,9,0.714912280701754,0.695804802994979
CNN-LSTM,10,0.649122807017544,0.691485476075557
CNN-LSTM,11,0.701754385964912,0.662837960218128
CNN-LSTM,12,0.767543859649123,0.638904722113358
CNN-LSTM,13,0.763157894736842,0.630477490132315
CNN-LSTM,14,0.754385964912281,0.610774236812926
CNN-LSTM,15,0.776315789473684,0.58757588110472
CNN-LSTM,16,0.780701754385965,0.571563666326958
CNN-LSTM,17,0.824561403508772,0.550460669032314
CNN-LSTM,18,0.833333333333333,0.529479003789132
CNN-LSTM,19,0.850877192982456,0.495184235405504
CNN-LSTM,20,0.802631578947369,0.509120141205035
CNN-LSTM,21,0.828947368421053,0.48097582867271
CNN-LSTM,22,0.850877192982456,0.456147069993772
CNN-LSTM,23,0.859649122807018,0.438050075581199
CNN-LSTM,24,0.87719298245614,0.416938277190192
CNN-LSTM,25,0.868421052631579,0.409285710569014
CNN-LSTM,26,0.868421052631579,0.40942946337817
CNN-LSTM,27,0.885964912280702,0.403673244672909
CNN-LSTM,28,0.885964912280702,0.395094928511402
CNN-LSTM,29,0.885964912280702,0.367505504896766
CNN-LSTM,30,0.916666666666667,0.334374869340345
CNN-GRU,1,0.578947368421053,0.761233409245809
CNN-GRU,2,0.671052631578947,0.742732505003611
CNN-GRU,3,0.714912280701754,0.725554816555559
CNN-GRU,4,0.732456140350877,0.706246028866684
CNN-GRU,5,0.763157894736842,0.68269551846019
CNN-GRU,6,0.802631578947369,0.650091625096505
CNN-GRU,7,0.81140350877193,0.596359020785282
CNN-GRU,8,0.850877192982456,0.498779933703573
CNN-GRU,9,0.894736842105263,0.370168052221599
CNN-GRU,10,0.907894736842105,0.312825070661411
CNN-GRU,11,0.929824561403509,0.267880554000537
CNN-GRU,12,0.916666666666667,0.23817607734287
CNN-GRU,13,0.929824561403509,0.22306769720295
CNN-GRU,14,0.929824561403509,0.206765985541176
CNN-GRU,15,0.93859649122807,0.195297193501079
CNN-GRU,16,0.93859649122807,0.188764334117111
CNN-GRU,17,0.951754385964912,0.18849302292393
CNN-GRU,18,0.951754385964912,0.170944018714261
CNN-GRU,19,0.942982456140351,0.17071847977084
CNN-GRU,20,0.951754385964912,0.166910171770213
CNN-GRU,21,0.956140350877193,0.16663800023104
CNN-GRU,22,0.956140350877193,0.160870378542888
CNN-GRU,23,0.964912280701754,0.152993984847215
CNN-GRU,24,0.956140350877193,0.149432724374428
CNN-GRU,25,0.951754385964912,0.146807817252059
CNN-GRU,26,0.964912280701754,0.149585432127902
CNN-GRU,27,0.956140350877193,0.141376609603564
CNN-GRU,28,0.964912280701754,0.139033182997975
CNN-GRU,29,0.956140350877193,0.137894306527941
CNN-GRU,30,0.964912280701754,0.147770137575112
CNN-GRU,31,0.960526315789474,0.133833562595802
CNN-GRU,32,0.969298245614035,0.130432961083818
CNN-GRU,33,0.960526315789474,0.125890682794546
CNN-GRU,34,0.969298245614035,0.12896186479351
CNN-GRU,35,0.969298245614035,0.129078042219605
CNN-GRU,36,0.969298245614035,0.1204671353886
CNN-GRU,37,0.969298245614035,0.112497857526729
CNN-GRU,38,0.969298245614035,0.120032271010834
CNN-GRU,39,0.969298245614035,0.110494555088512
CNN-GRU,40,0.973684210526316,0.100014703838449
LSTM-Emb,1,0.508771929824562,0.771230930821937
LSTM-Emb,2,0.535087719298246,0.757103922074301
LSTM-Emb,3,0.675438596491228,0.74434538891441
LSTM-Emb,4,0.758771929824562,0.727448238615404
LSTM-Emb,5,0.855263157894737,0.680844756594875
LSTM-Emb,6,0.855263157894737,0.562524815400442
LSTM-Emb,7,0.916666666666667,0.43488739404762
LSTM-Emb,8,0.916666666666667,0.347674041463618
LSTM-Emb,9,0.93859649122807,0.286369153282099
LSTM-Emb,10,0.951754385964912,0.239062922042713
LSTM-Emb,11,0.951754385964912,0.22126021353822
LSTM-Emb,12,0.947368421052632,0.208761086327988
LSTM-Emb,13,0.942982456140351,0.21105942077804
LSTM-Emb,14,0.942982456140351,0.209356140933539
LSTM-Emb,15,0.93859649122807,0.226566444886358
LSTM-Emb,16,0.93421052631579,0.211249490709681
LSTM-Emb,17,0.960526315789474,0.172689667396378
LSTM-Emb,18,0.951754385964912,0.184177776961996
LSTM-Emb,19,0.964912280701754,0.16118364558931
