model,epochs,acc,loss
CNN-LSTM,1,0.491525423728814,0.945323667283786
CNN-LSTM,2,0.567796610169492,0.897164885270394
CNN-LSTM,3,0.542372881861056,0.890368460598639
CNN-LSTM,4,0.601694915254237,0.868171924251621
CNN-LSTM,5,0.576271186440678,0.853172746755309
CNN-LSTM,6,0.584745762711864,0.846845066143295
CNN-LSTM,7,0.618644068806858,0.811387243917433
CNN-LSTM,8,0.635593220844107,0.809477220147343
CNN-LSTM,9,0.703389831518723,0.769374194791762
CNN-LSTM,10,0.703389831518723,0.75146531957691
CNN-LSTM,11,0.694915255247536,0.749254959114527
CNN-LSTM,12,0.745762710854159,0.701098883556107
CNN-LSTM,13,0.754237289145841,0.672531767416809
CNN-LSTM,14,0.771186439667718,0.655644700688831
CNN-LSTM,15,0.779661016949153,0.618428639941296
CNN-LSTM,16,0.838983050847458,0.601192037938005
CNN-LSTM,17,0.779661017959401,0.586369184114165
CNN-LSTM,18,0.788135593220339,0.583453319335388
CNN-LSTM,19,0.838983049837209,0.540320432792276
CNN-LSTM,20,0.855932204400079,0.513188588417183
CNN-LSTM,21,0.88135593220339,0.46999976796619
CNN-LSTM,22,0.855932203389831,0.489386016534547
CNN-LSTM,23,0.864406780671265,0.466813708766032
CNN-LSTM,24,0.838983049837209,0.449345986721879
CNN-LSTM,25,0.898305085756011,0.43300926281234
CNN-LSTM,26,0.898305083735515,0.409856431059918
CNN-LSTM,27,0.88135593220339,0.43263640141083
CNN-LSTM,28,0.872881356942452,0.38455972530074
CNN-LSTM,29,0.906779661016949,0.38705906827571
CNN-LSTM,30,0.906779660006701,0.362344158402944
CNN-GRU,1,0.516949151532125,0.73186263997676
CNN-GRU,2,0.567796610169492,0.726606183132883
CNN-GRU,3,0.584745763722113,0.722394372447062
CNN-GRU,4,0.610169490515176,0.718488635653156
CNN-GRU,5,0.584745763216989,0.714912668123084
CNN-GRU,6,0.601694915254237,0.711924285201703
CNN-GRU,7,0.627118645078045,0.707230755838297
CNN-GRU,8,0.584745763722113,0.705029160289441
CNN-GRU,9,0.601694914243989,0.701686035778563
CNN-GRU,10,0.618644066786362,0.697818472223767
CNN-GRU,11,0.661016948142294,0.695160145476713
CNN-GRU,12,0.652542372881356,0.691408195738065
CNN-GRU,13,0.652542373891604,0.688812900397737
CNN-GRU,14,0.652542372881356,0.685064590583413
CNN-GRU,15,0.627118644067797,0.682683051642725
CNN-GRU,16,0.635593221349231,0.678531242629229
CNN-GRU,17,0.627118643057548,0.67670982267897
CNN-GRU,18,0.65254237338648,0.672028404171184
CNN-GRU,19,0.686440676955853,0.667550886081437
CNN-GRU,20,0.677966100684667,0.663699318796901
CNN-GRU,21,0.686440677966102,0.658831482216463
CNN-GRU,22,0.69491525322704,0.655006906743777
CNN-GRU,23,0.703389830508475,0.649671215122029
CNN-GRU,24,0.711864406779661,0.643558854773893
CNN-GRU,25,0.694915255247536,0.63760430630991
CNN-GRU,26,0.737288134582972,0.630387566857419
CNN-GRU,27,0.754237287125345,0.623168926117784
CNN-GRU,28,0.779661015938904,0.615612763469502
CNN-GRU,29,0.762711865417028,0.610000891200567
CNN-GRU,30,0.796610169491525,0.595473415265649
CNN-GRU,31,0.771186439667718,0.586480968079325
CNN-GRU,32,0.796610168481277,0.572316560704829
CNN-GRU,33,0.788135592210091,0.560054522449687
CNN-GRU,34,0.779661016949153,0.553170675948515
CNN-GRU,35,0.771186439667718,0.538669739234245
CNN-GRU,36,0.788135593220339,0.527292075551162
CNN-GRU,37,0.771186441688214,0.52117584014343
CNN-GRU,38,0.745762711864407,0.518655832541191
CNN-GRU,39,0.73728813559322,0.511705080331382
CNN-GRU,40,0.762711864911904,0.506207724749032
CNN-GRU,41,0.754237287125345,0.505105501009246
CNN-GRU,42,0.745762710854159,0.507388585704868
CNN-GRU,43,0.762711863396531,0.497388198214062
CNN-GRU,44,0.754237289145841,0.500679534370616
CNN-GRU,45,0.796610170501774,0.488283522048239
CNN-GRU,46,0.796610168481277,0.482130972005553
CNN-GRU,47,0.771186440677966,0.475314764148098
CNN-GRU,48,0.779661016949153,0.478848489664369
CNN-GRU,49,0.796610170501774,0.471861428123409
CNN-GRU,50,0.796610168481277,0.461646939738322
CNN-GRU,51,0.788135594230587,0.464423493308536
CNN-GRU,52,0.779661015938904,0.466447901927819
CNN-GRU,53,0.788135592210091,0.462214651754347
CNN-GRU,54,0.813559323044147,0.45975133928202
CNN-GRU,55,0.813559322033898,0.443684417312428
CNN-GRU,56,0.805084745762712,0.446365733267897
CNN-GRU,57,0.805084744752464,0.443311577126131
CNN-GRU,58,0.813559323044147,0.456499001737368
CNN-GRU,59,0.81355932102365,0.436432793483896
CNN-GRU,60,0.813559323044147,0.43375930139574
LSTM-Emb,1,0.5,1.78701469251665
LSTM-Emb,2,0.499999998989752,1.53878387354188
LSTM-Emb,3,0.5,1.3448778633344
LSTM-Emb,4,0.500000000505124,1.19458316140256
LSTM-Emb,5,0.508474576776311,1.07851769156375
LSTM-Emb,6,0.508474576271186,0.98889880665278
LSTM-Emb,7,0.54237288236618,0.919575665966939
LSTM-Emb,8,0.610169491525424,0.865654598858397
LSTM-Emb,9,0.593220339993299,0.823799319186453
LSTM-Emb,10,0.64406779661017,0.790983649633699
LSTM-Emb,11,0.652542371871108,0.765580702636202
LSTM-Emb,12,0.677966100684667,0.745222903914371
LSTM-Emb,13,0.652542371871108,0.727983719211514
LSTM-Emb,14,0.694915254237288,0.709152926832943
LSTM-Emb,15,0.677966100684667,0.68463323378967
LSTM-Emb,16,0.635593220338983,0.679960848921436
LSTM-Emb,17,0.69491525322704,0.653861740888175
LSTM-Emb,18,0.703389830508475,0.62141519128266
LSTM-Emb,19,0.737288136603469,0.582636652356487
LSTM-Emb,20,0.728813560332282,0.576976371013512
LSTM-Emb,21,0.728813559322034,0.561658938557415
LSTM-Emb,22,0.720338982040599,0.558715279829704
LSTM-Emb,23,0.720338983555972,0.552348909741741
LSTM-Emb,24,0.762711863396531,0.543655333882671
LSTM-Emb,25,0.745762710854159,0.540662214917652
LSTM-Emb,26,0.728813560332282,0.528917319693808
LSTM-Emb,27,0.728813560332282,0.552062150785479
LSTM-Emb,28,0.720338984061096,0.557386311434083
LSTM-Emb,29,0.745762710854159,0.538977911411706
LSTM-Emb,30,0.754237289145841,0.533145129680634
LSTM-Emb,31,0.745762711864407,0.517831833685859
LSTM-Emb,32,0.745762710854159,0.545004912352158
LSTM-Emb,33,0.754237287125345,0.532810874409595
LSTM-Emb,34,0.745762711864407,0.533558983418901
LSTM-Emb,35,0.771186439667718,0.533838444847172
LSTM-Emb,36,0.754237287125345,0.522231349500559
LSTM-Emb,37,0.754237289145841,0.507071368775125
LSTM-Emb,38,0.762711863396531,0.505158842115079
LSTM-Emb,39,0.76271186440678,0.523280378115379
LSTM-Emb,40,0.771186440930528,0.500184094501754
LSTM-Emb,41,0.745762710854159,0.505073695869769
LSTM-Emb,42,0.737288136603469,0.515428848185782
LSTM-Emb,43,0.720338982040599,0.555917517613557
LSTM-Emb,44,0.754237287125345,0.519977163460295
LSTM-Emb,45,0.754237289145841,0.533501540200185
LSTM-Emb,46,0.754237289145841,0.513497889041901
LSTM-Emb,47,0.788135593220339,0.491492694212219
LSTM-Emb,48,0.771186439667718,0.498578076645479
LSTM-Emb,49,0.728813558311786,0.508080062724776
LSTM-Emb,50,0.779661015938904,0.50413539652097
LSTM-Emb,51,0.711864406779661,0.523798708188332
LSTM-Emb,52,0.745762712874655,0.492756112147186
LSTM-Emb,53,0.771186441688214,0.505626986592503
LSTM-Emb,54,0.745762712874655,0.506049046577033
LSTM-Emb,55,0.737288134582972,0.509032611119545
LSTM-Emb,56,0.76271186440678,0.499940535779727
LSTM-Emb,57,0.779661016949153,0.489293479313285
LSTM-Emb,58,0.788135592210091,0.482312021619183
LSTM-Emb,59,0.754237287125345,0.484728690426228
LSTM-Emb,60,0.771186441688214,0.504755641444255
GRU-Emb,1,0.449152542878006,0.770047906091658
GRU-Emb,2,0.56779661117974,0.758497941291938
GRU-Emb,3,0.542372881355932,0.750013230210644
GRU-Emb,4,0.627118644067797,0.740046742608992
GRU-Emb,5,0.635593220844107,0.732570117813046
GRU-Emb,6,0.627118643057548,0.725409163256823
GRU-Emb,7,0.627118643057548,0.718247057017634
GRU-Emb,8,0.652542372881356,0.710687221106836
GRU-Emb,9,0.652542372881356,0.702152181479891
GRU-Emb,10,0.694915254237288,0.693121488821709
