Group	Data set	Model	Accuracy	Loss
Bacteria	Training	CNN-LSTM	0.916666666666667	0.334374869340345
Bacteria	Training	CNN-GRU	0.964912280701754	0.147770137575112
Bacteria	Training	LSTM-Emb	0.978070175438597	0.129118706704232
Bacteria	Training	GRU-Emb	0.947368421052632	0.202093355226935
Bacteria	Validation	CNN-LSTM	0.855263157894737	0.376735044153113
Bacteria	Validation	CNN-GRU	0.947368421052632	0.20505982676619
Bacteria	Validation	LSTM-Emb	0.934210529452876	0.232473933383038
Bacteria	Validation	GRU-Emb	0.894736838968177	0.385401628519359
Fungi	Training	CNN-LSTM	0.906779660006701	0.362344158402944
Fungi	Training	CNN-GRU	0.813559323044147	0.43375930139574
Fungi	Training	LSTM-Emb	0.771186441688214	0.504755641444255
Fungi	Training	GRU-Emb	0.788135592210091	0.483579756344779
Fungi	Validation	CNN-LSTM	0.526315792610771	0.923449168079778
Fungi	Validation	CNN-GRU	0.578947368421053	0.798993104382565
Fungi	Validation	LSTM-Emb	0.710526315789474	0.503775596618652
Fungi	Validation	GRU-Emb	0.842105263157895	0.467829431358137
Oomycete	Training	CNN-LSTM	0.656862746266758	0.625755497053558
Oomycete	Training	CNN-GRU	0.833333333333333	0.428764811917847
Oomycete	Training	LSTM-Emb	0.862745098039216	0.314399896883497
Oomycete	Training	GRU-Emb	0.705882352941177	1.48688189188639
Oomycete	Validation	CNN-LSTM	0.735294117647059	0.760580788640415
Oomycete	Validation	CNN-GRU	0.617647058823529	0.676769053234774
Oomycete	Validation	LSTM-Emb	0.588235294117647	0.909779047264772
Oomycete	Validation	GRU-Emb	0.5	1.48596234882579
