Group	Model	Paramater	BestValue
Bacteria	 CNN-LSTM	strides	1
Bacteria	 CNN-LSTM	padding	 valid
Bacteria	 CNN-LSTM	optimizers	 Adadelta
Bacteria	 CNN-LSTM	number_hidden_units	8
Bacteria	 CNN-LSTM	filters_LSTM	16
Bacteria	 CNN-LSTM	filters	16
Bacteria	 CNN-LSTM	epochs	30
Bacteria	 CNN-LSTM	batch_size	16
Bacteria	 CNN-LSTM	activation_convolution	 None
Bacteria	 CNN-LSTM	activation_LSTM	tanh 
Bacteria	 CNN-GRU	reg_rate	0.001
Bacteria	 CNN-GRU	optimizers	Adam
Bacteria	 CNN-GRU	opt_go_backwards	TRUE
Bacteria	 CNN-GRU	opt_dropout_recurrent	0
Bacteria	 CNN-GRU	opt_dropout	0
Bacteria	 CNN-GRU	maxpool_size	2
Bacteria	 CNN-GRU	kernel_size	1
Bacteria	 CNN-GRU	gru_hidden_units	16
Bacteria	 CNN-GRU	filter_conv	16
Bacteria	 CNN-GRU	epochs	30
Bacteria	 CNN-GRU	batch_size	16
Bacteria	 CNN-GRU	activation_conv	 None
Bacteria	 LSTM Embedding	reg_rate	0.001
Bacteria	 LSTM Embedding	outputdim	16
Bacteria	 LSTM Embedding	optimizers	Adam
Bacteria	 LSTM Embedding	opt_go_backwards	TRUE
Bacteria	 LSTM Embedding	opt_dropout_recurrent	0
Bacteria	 LSTM Embedding	opt_dropout	0.25
Bacteria	 LSTM Embedding	lstm_hidden_units	16
Bacteria	 LSTM Embedding	epochs	30
Bacteria	 LSTM Embedding	batch_size	16
Bacteria	 GRU Embedding	reg_rate	0.001
Bacteria	 GRU Embedding	outputdim	48
Bacteria	 GRU Embedding	optimizers	Adam
Bacteria	 GRU Embedding	opt_go_backwards	FALSE
Bacteria	 GRU Embedding	opt_dropout_recurrent	0
Bacteria	 GRU Embedding	opt_dropout	0
Bacteria	 GRU Embedding	gru_hidden_units	16
Bacteria	 GRU Embedding	epochs	30
Bacteria	 GRU Embedding	batch_size	16
Fungi	 CNN-LSTM	strides	1
Fungi	 CNN-LSTM	padding	valid
Fungi	 CNN-LSTM	optimizers	Adadelta
Fungi	 CNN-LSTM	number_hidden_units	8
Fungi	 CNN-LSTM	filters_LSTM	16
Fungi	 CNN-LSTM	filters	16
Fungi	 CNN-LSTM	epochs	30
Fungi	 CNN-LSTM	batch_size	16
Fungi	 CNN-LSTM	activation_convolution	 None
Fungi	 CNN-LSTM	activation_LSTM	tanh
