Group	Model	Tuned hyperpramaters	Values
Bacteria	CNN-LSTM	filters	4, 8, 16
Bacteria	CNN-LSTM	filters_LSTM	4, 8, 16
Bacteria	CNN-LSTM	optimizers	Adam, Adadelta
Bacteria	CNN-LSTM	number_hidden_units	4, 8
Bacteria	CNN-LSTM	batch_size	8, 16, 32
Bacteria	CNN-GRU	filter_conv	8, 16, 32
Bacteria	CNN-GRU	kernel_size	1, 2
Bacteria	CNN-GRU	maxpool_size	2, 3
Bacteria	CNN-GRU	activation_conv	None, relu
Bacteria	CNN-GRU	gru_hidden_units	8, 16, 32
Bacteria	CNN-GRU	opt_dropout	0, 0.25
Bacteria	CNN-GRU	opt_dropout_recurrent	0, 0.25
Bacteria	CNN-GRU	reg_rate	0.01, 0.001
Bacteria	CNN-GRU	optimizers	Adam, sgd
Bacteria	CNN-GRU	batch_size	8, 16
Bacteria	LSTM Embedding	outputdim	16, 32, 64
Bacteria	LSTM Embedding	lstm_hidden_units	16, 32
Bacteria	LSTM Embedding	opt_dropout	0, 0.25
Bacteria	LSTM Embedding	opt_go_backwards	TRUE, FALSE
Bacteria	LSTM Embedding	reg_rate	0.01, 0.001
Bacteria	LSTM Embedding	optimizers	Adam, sgd
Bacteria	LSTM Embedding	batch_size	8: 16
Bacteria	GRU Embedding	outputdim	32, 48
Bacteria	GRU Embedding	gru_hidden_units	8, 16, 32
Bacteria	GRU Embedding	opt_go_backwards	TRUE, FALSE
Bacteria	GRU Embedding	reg_rate	0.01, 0.001
Bacteria	GRU Embedding	optimizers	'sgd', 'Adam', 'Adadelta'
Bacteria	GRU Embedding	batch_size	16, 32
Fungi	CNN-LSTM	filters	4, 8, 16
Fungi	CNN-LSTM	filters_LSTM	4, 8, 16
Fungi	CNN-LSTM	optimizers	Adam, Adadelta
Fungi	CNN-LSTM	number_hidden_units	4, 8
Fungi	CNN-LSTM	batch_size	4, 8, 16
Fungi	CNN-GRU	filter_conv	8, 16
Fungi	CNN-GRU	kernel_size	1, 2
Fungi	CNN-GRU	maxpool_size	2, 3
Fungi	CNN-GRU	activation_conv	None, relu
Fungi	CNN-GRU	gru_hidden_units	8, 16
Fungi	CNN-GRU	opt_dropout	0, 0.25
Fungi	CNN-GRU	opt_dropout_recurrent	0, 0.25
Fungi	CNN-GRU	reg_rate	0.01, 0.001
Fungi	CNN-GRU	optimizers	Adam, sgd
Fungi	CNN-GRU	batch_size	4, 8
Fungi	LSTM Embedding	outputdim	16, 32, 64
Fungi	LSTM Embedding	lstm_hidden_units	16, 32
Fungi	LSTM Embedding	opt_dropout	0, 0.25
Fungi	LSTM Embedding	opt_go_backwards	TRUE, FALSE
Fungi	LSTM Embedding	reg_rate	0.01, 0.001
Fungi	LSTM Embedding	optimizers	Adam, sgd
Fungi	LSTM Embedding	batch_size	4, 8
Fungi	GRU Embedding	outputdim	8, 16, 32
Fungi	GRU Embedding	gru_hidden_units	8, 16, 32
Fungi	GRU Embedding	opt_go_backwards	TRUE, FALSE
Fungi	GRU Embedding	reg_rate	0.01, 0.001
Fungi	GRU Embedding	optimizers	'sgd', 'Adam', 'Adadelta'
Fungi	GRU Embedding	batch_size	4, 8
Oomycete	CNN-LSTM	filters	4, 8, 16
Oomycete	CNN-LSTM	filters_LSTM	4, 8, 16
Oomycete	CNN-LSTM	optimizers	Adam, Adadelta
Oomycete	CNN-LSTM	number_hidden_units	4, 8
Oomycete	CNN-LSTM	batch_size	4, 8, 16
Oomycete	CNN-GRU	filter_conv	8, 16, 32
Oomycete	CNN-GRU	maxpool_size	2, 3
Oomycete	CNN-GRU	activation_conv	None, relu
Oomycete	CNN-GRU	gru_hidden_units	8, 16, 32
Oomycete	CNN-GRU	opt_dropout	0, 0.25
Oomycete	CNN-GRU	opt_dropout_recurrent	0, 0.25
Oomycete	CNN-GRU	reg_rate	0.01, 0.001
Oomycete	CNN-GRU	batch_size	4, 8
Oomycete	LSTM Embedding	outputdim	16, 32, 64
Oomycete	LSTM Embedding	lstm_hidden_units	16, 32
Oomycete	LSTM Embedding	opt_dropout	0, 0.25
Oomycete	LSTM Embedding	opt_go_backwards	TRUE, FALSE
Oomycete	LSTM Embedding	reg_rate	0.01, 0.001
Oomycete	LSTM Embedding	optimizers	Adam, sgd
Oomycete	LSTM Embedding	batch_size	4, 8
Oomycete	GRU Embedding	outputdim	32, 48, 16
Oomycete	GRU Embedding	gru_hidden_units	8, 16, 32, 64
Oomycete	GRU Embedding	opt_dropout	0, 0.25, 0.5
Oomycete	GRU Embedding	opt_dropout_recurrent	0, 0.25, 0.5
Oomycete	GRU Embedding	opt_go_backwards	TRUE, FALSE
Oomycete	GRU Embedding	reg_rate	0.01, 0.001
Oomycete	GRU Embedding	optimizers	'sgd', 'Adam', 'Adadelta'
Oomycete	GRU Embedding	batch_size	4, 8
